Donette Foller,donette.foller@cox.net
Simona Morasca,simona@morasca.com
Mitsue Tollner,mitsue_tollner@yahoo.com
Leota Dilliard,leota@hotmail.com
Sage Wieser,sage_wieser@cox.net
Kris Marrier,kris@gmail.com
Minna Amigon,minna_amigon@yahoo.com
Abel Maclead,amaclead@gmail.com
Kiley Caldarera,kiley.caldarera@aol.com
Graciela Ruta,gruta@cox.net
Cammy Albares,calbares@gmail.com
Mattie Poquette,mattie@aol.com
Meaghan Garufi,meaghan@hotmail.com
Gladys Rim,gladys.rim@rim.org
Yuki Whobrey,yuki_whobrey@aol.com
Fletcher Flosi,fletcher.flosi@yahoo.com
Bette Nicka,bette_nicka@cox.net
Veronika Inouye,vinouye@aol.com
